LocationID,Category,ItemCode,MonthlyTargetUnits,UnitPrice,CurrentStockUnits
LOC-Delta,Toys,ITM-3532,1945,465.29,2548
LOC-Beta,Sports,ITM-1406,417,369.6,235
LOC-Delta,Apparel,ITM-5371,376,394.75,94
LOC-Alpha,Sports,ITM-4644,458,409.21,340
LOC-Gamma,Apparel,ITM-4652,98,331.72,64
LOC-Gamma,Electronics,ITM-5573,769,322.53,507
LOC-Gamma,Electronics,ITM-2889,1846,485.35,646
LOC-Gamma,Electronics,ITM-2776,1271,220.11,1423
LOC-Gamma,Sports,ITM-9379,286,195.67,259
LOC-Gamma,Electronics,ITM-8144,53,262.36,65
LOC-Beta,Home & Garden,ITM-8066,193,474.69,268
LOC-Gamma,Electronics,ITM-5920,1088,158.1,730
LOC-Delta,Home & Garden,ITM-3085,442,213.12,626
LOC-Beta,Toys,ITM-5930,881,276.23,88
LOC-Gamma,Apparel,ITM-8043,1659,292.09,1686
LOC-Delta,Sports,ITM-8244,1433,110.78,1092
LOC-Beta,Electronics,ITM-5649,1105,333.61,1068
LOC-Alpha,Apparel,ITM-6085,510,404.25,156
LOC-Alpha,Apparel,ITM-8784,1301,425.62,262
LOC-Delta,Toys,ITM-4185,1521,349.7,1204
LOC-Beta,Apparel,ITM-1090,1878,376.73,2212
LOC-Alpha,Sports,ITM-4585,410,403.03,440
LOC-Delta,Electronics,ITM-5082,1928,424.93,1424
LOC-Delta,Toys,ITM-6198,1995,378.85,1435
LOC-Delta,Toys,ITM-8305,1887,83.78,2464
LOC-Delta,Home & Garden,ITM-5050,1770,320.64,2074
LOC-Delta,Apparel,ITM-5499,950,43.35,475
LOC-Gamma,Home & Garden,ITM-6238,1878,272.38,551
LOC-Beta,Sports,ITM-3503,1496,110.91,1018
LOC-Gamma,Toys,ITM-8633,901,35.82,1140
LOC-Delta,Toys,ITM-1320,1804,440.93,1634
LOC-Delta,Electronics,ITM-6763,661,377.97,855
LOC-Delta,Toys,ITM-9947,1688,303.61,689
LOC-Beta,Home & Garden,ITM-8140,1044,19.37,595
LOC-Delta,Apparel,ITM-8657,1933,68.18,1877
LOC-Alpha,Sports,ITM-1444,221,323.16,64
LOC-Delta,Apparel,ITM-1823,582,192.66,230
LOC-Gamma,Home & Garden,ITM-7211,619,377.24,782
LOC-Gamma,Electronics,ITM-8705,89,375.77,15
LOC-Gamma,Apparel,ITM-2124,1649,478.86,257
LOC-Alpha,Apparel,ITM-4266,1768,15.09,553
LOC-Beta,Sports,ITM-2874,1205,474.14,905
LOC-Gamma,Home & Garden,ITM-3749,1290,305.59,1479
LOC-Alpha,Apparel,ITM-6096,271,291.45,379
LOC-Delta,Sports,ITM-4249,205,298.09,258
LOC-Beta,Electronics,ITM-5941,1791,343.71,2198
LOC-Alpha,Home & Garden,ITM-9728,927,332.45,182
LOC-Gamma,Electronics,ITM-7882,1734,247.65,1225
LOC-Gamma,Sports,ITM-3506,941,92.19,781
LOC-Gamma,Toys,ITM-9817,1636,244.33,1161
LOC-Gamma,Home & Garden,ITM-5022,1751,467.64,858
LOC-Delta,Apparel,ITM-8613,1217,307.11,767
LOC-Alpha,Sports,ITM-6325,422,246.34,251
LOC-Gamma,Home & Garden,ITM-5581,1852,300.1,2467
LOC-Alpha,Toys,ITM-4130,225,124.47,150
LOC-Beta,Sports,ITM-9041,967,397.5,222
LOC-Beta,Sports,ITM-4986,677,333.66,417
LOC-Gamma,Sports,ITM-6419,770,352.91,369
LOC-Gamma,Apparel,ITM-2976,1527,100.33,408
LOC-Beta,Apparel,ITM-4545,1562,244.68,1740
LOC-Gamma,Electronics,ITM-4180,656,117.6,230
LOC-Alpha,Toys,ITM-3073,611,27.53,107
LOC-Gamma,Apparel,ITM-9042,260,437.0,234
LOC-Delta,Sports,ITM-8216,747,96.26,128
LOC-Delta,Electronics,ITM-2070,870,248.41,789
LOC-Alpha,Apparel,ITM-3444,1711,283.61,898
LOC-Beta,Electronics,ITM-7818,1291,300.08,1246
LOC-Delta,Sports,ITM-8253,658,430.78,977
LOC-Gamma,Toys,ITM-1986,1298,480.25,310
LOC-Beta,Apparel,ITM-5335,1402,45.19,611
LOC-Alpha,Apparel,ITM-1043,886,228.0,825
LOC-Gamma,Electronics,ITM-4792,640,354.94,693
LOC-Delta,Electronics,ITM-4824,1942,135.95,2345
LOC-Beta,Sports,ITM-2880,1165,116.28,359
LOC-Gamma,Apparel,ITM-2169,172,87.13,91
LOC-Gamma,Sports,ITM-3037,1009,345.9,1089
LOC-Gamma,Toys,ITM-9847,1061,221.69,994
LOC-Delta,Home & Garden,ITM-5102,102,50.21,147
LOC-Alpha,Home & Garden,ITM-1659,1612,379.35,1223
LOC-Delta,Home & Garden,ITM-3973,1248,220.76,1547
LOC-Alpha,Sports,ITM-6700,886,169.99,919
LOC-Beta,Home & Garden,ITM-7744,1470,250.26,1510
LOC-Delta,Toys,ITM-1601,981,48.59,444
LOC-Alpha,Sports,ITM-9431,1739,494.12,1775
LOC-Delta,Sports,ITM-1888,434,261.63,421
LOC-Delta,Sports,ITM-1845,466,137.19,132
LOC-Gamma,Sports,ITM-8941,298,19.29,292
LOC-Beta,Apparel,ITM-6091,1178,11.77,790
LOC-Beta,Electronics,ITM-8560,1989,63.15,2516
LOC-Delta,Home & Garden,ITM-9337,1494,140.35,1895
LOC-Delta,Apparel,ITM-8483,1178,76.6,432
LOC-Beta,Electronics,ITM-5526,1632,396.05,1111
LOC-Gamma,Electronics,ITM-5634,1536,152.79,1415
LOC-Delta,Apparel,ITM-8316,1153,244.75,651
LOC-Delta,Sports,ITM-6272,1830,98.38,1969
LOC-Delta,Apparel,ITM-7730,139,162.5,105
LOC-Delta,Sports,ITM-3492,1064,482.59,294
LOC-Gamma,Electronics,ITM-8213,254,265.35,187
LOC-Beta,Sports,ITM-3529,203,237.4,295
LOC-Gamma,Toys,ITM-7512,1380,44.76,772
LOC-Delta,Home & Garden,ITM-8994,1836,272.8,1770
LOC-Beta,Home & Garden,ITM-4727,1579,49.74,2320
LOC-Alpha,Sports,ITM-3725,1471,153.24,206
LOC-Gamma,Electronics,ITM-5806,784,190.55,238
LOC-Delta,Toys,ITM-3950,398,91.66,379
LOC-Delta,Toys,ITM-4945,1069,456.85,321
LOC-Delta,Home & Garden,ITM-8529,572,335.09,777
LOC-Delta,Home & Garden,ITM-9955,373,41.56,530
LOC-Gamma,Sports,ITM-5097,985,423.43,373
LOC-Delta,Sports,ITM-2747,535,193.78,322
LOC-Gamma,Home & Garden,ITM-1359,1749,330.82,846
LOC-Alpha,Toys,ITM-9138,1755,452.56,878
LOC-Beta,Toys,ITM-6772,498,320.13,482
LOC-Beta,Electronics,ITM-1645,682,395.36,100
LOC-Gamma,Apparel,ITM-2476,1912,151.08,2192
LOC-Beta,Apparel,ITM-3165,1660,272.01,2423
LOC-Gamma,Apparel,ITM-5210,1921,413.22,1487
LOC-Gamma,Home & Garden,ITM-2886,1009,481.63,299
LOC-Beta,Sports,ITM-6992,234,396.39,27
LOC-Alpha,Sports,ITM-7038,1427,375.76,666
LOC-Delta,Home & Garden,ITM-2775,1432,120.74,193
LOC-Gamma,Toys,ITM-4626,1376,36.29,1724
LOC-Gamma,Sports,ITM-2911,336,27.45,51
LOC-Delta,Electronics,ITM-2592,530,444.19,153
LOC-Delta,Home & Garden,ITM-9850,908,295.73,1014
LOC-Delta,Electronics,ITM-9017,1310,207.02,1876
LOC-Alpha,Home & Garden,ITM-4559,958,225.12,412
LOC-Gamma,Electronics,ITM-7018,1165,451.34,1168
LOC-Alpha,Sports,ITM-5520,438,484.26,625
LOC-Delta,Electronics,ITM-4475,1364,321.55,1990
LOC-Alpha,Home & Garden,ITM-4990,307,394.55,118
LOC-Beta,Toys,ITM-4538,1715,435.5,960
LOC-Beta,Toys,ITM-1046,617,429.91,186
LOC-Beta,Toys,ITM-5106,1685,91.38,1727
LOC-Alpha,Apparel,ITM-1243,783,396.04,339
LOC-Gamma,Electronics,ITM-3854,593,30.94,675
LOC-Alpha,Electronics,ITM-8802,968,390.12,792
LOC-Alpha,Sports,ITM-9254,503,472.98,80
LOC-Gamma,Sports,ITM-1510,174,499.3,223
LOC-Delta,Electronics,ITM-9032,1508,455.3,305
LOC-Alpha,Home & Garden,ITM-3430,184,67.46,179
LOC-Gamma,Sports,ITM-9692,653,229.59,618
LOC-Alpha,Electronics,ITM-4522,930,228.52,390
LOC-Gamma,Sports,ITM-7532,901,366.16,484
LOC-Gamma,Home & Garden,ITM-7132,362,344.98,276
LOC-Alpha,Electronics,ITM-2527,934,52.8,1059
LOC-Beta,Toys,ITM-1982,1251,478.53,1108
LOC-Alpha,Sports,ITM-6793,1839,334.34,2115
LOC-Alpha,Home & Garden,ITM-6119,770,56.28,623
LOC-Beta,Sports,ITM-4674,1785,58.57,2291
LOC-Gamma,Electronics,ITM-5564,1225,116.95,858
LOC-Alpha,Toys,ITM-5381,109,94.31,118
LOC-Gamma,Home & Garden,ITM-6751,62,94.8,18
LOC-Delta,Electronics,ITM-3324,1567,318.42,223
LOC-Beta,Sports,ITM-7878,979,173.74,605
LOC-Gamma,Toys,ITM-2391,1859,31.04,595
LOC-Alpha,Electronics,ITM-5458,957,332.66,746
LOC-Delta,Sports,ITM-5475,491,378.7,127
LOC-Delta,Electronics,ITM-5640,1438,340.85,1123
LOC-Gamma,Electronics,ITM-4612,859,492.3,151
LOC-Beta,Home & Garden,ITM-4460,1621,72.93,741
LOC-Gamma,Electronics,ITM-1126,1068,374.77,369
LOC-Delta,Toys,ITM-4770,1074,281.57,1111
LOC-Gamma,Electronics,ITM-7505,1814,372.31,1289
LOC-Delta,Electronics,ITM-6129,1229,217.5,818
LOC-Delta,Home & Garden,ITM-2887,879,15.32,487
LOC-Delta,Home & Garden,ITM-2443,944,423.02,415
LOC-Delta,Toys,ITM-2288,860,435.91,983
LOC-Beta,Home & Garden,ITM-3754,206,257.69,53
LOC-Beta,Home & Garden,ITM-6752,1539,479.32,1544
LOC-Beta,Apparel,ITM-2684,349,131.7,119
LOC-Beta,Electronics,ITM-3902,1998,387.56,1581
LOC-Delta,Toys,ITM-6295,1819,485.63,986
LOC-Delta,Electronics,ITM-8682,955,317.54,1160
LOC-Alpha,Home & Garden,ITM-9312,201,158.65,147
LOC-Alpha,Home & Garden,ITM-5703,207,324.11,303
LOC-Alpha,Toys,ITM-9307,837,234.04,733
LOC-Alpha,Sports,ITM-4084,708,304.48,567
LOC-Alpha,Sports,ITM-2695,1710,450.07,993
LOC-Alpha,Toys,ITM-3827,130,127.63,92
LOC-Delta,Toys,ITM-9564,1298,83.58,807
LOC-Gamma,Sports,ITM-7697,1636,172.49,1532
LOC-Gamma,Electronics,ITM-6401,243,281.19,155
LOC-Gamma,Toys,ITM-3463,732,45.34,753
LOC-Gamma,Home & Garden,ITM-7421,314,299.55,443
LOC-Gamma,Toys,ITM-7171,1367,396.87,1692
LOC-Alpha,Sports,ITM-9331,791,14.02,421
LOC-Beta,Home & Garden,ITM-8967,443,117.14,129
LOC-Alpha,Home & Garden,ITM-2657,1089,386.58,1382
LOC-Alpha,Home & Garden,ITM-3147,1273,191.48,416
LOC-Beta,Sports,ITM-1715,891,185.33,986
LOC-Delta,Toys,ITM-5668,1590,375.53,1158
LOC-Beta,Home & Garden,ITM-8684,1901,418.38,1169
LOC-Delta,Sports,ITM-5616,1643,194.03,1377
LOC-Beta,Apparel,ITM-3267,1837,128.75,1832
LOC-Gamma,Toys,ITM-2680,1506,423.72,1945
LOC-Gamma,Electronics,ITM-3626,608,227.41,497
LOC-Delta,Electronics,ITM-4637,1722,228.31,1014
LOC-Alpha,Sports,ITM-1872,861,253.49,370
LOC-Alpha,Home & Garden,ITM-4678,107,162.75,25
LOC-Gamma,Apparel,ITM-3254,128,147.01,161
LOC-Beta,Sports,ITM-8349,1310,7.6,276
LOC-Gamma,Apparel,ITM-3449,1173,470.41,1117
LOC-Delta,Electronics,ITM-5720,536,154.07,89
LOC-Delta,Toys,ITM-8489,178,59.87,243
LOC-Alpha,Toys,ITM-4963,1521,76.07,1066
LOC-Gamma,Apparel,ITM-7825,433,333.86,95
LOC-Gamma,Electronics,ITM-9618,1164,256.13,1726
LOC-Alpha,Sports,ITM-8702,139,319.66,204
LOC-Gamma,Electronics,ITM-6850,1664,38.44,728
LOC-Alpha,Toys,ITM-6447,323,26.95,279
LOC-Beta,Sports,ITM-8840,1343,95.23,387
LOC-Delta,Electronics,ITM-5807,462,26.68,175
LOC-Alpha,Home & Garden,ITM-6080,1105,202.12,1371
LOC-Delta,Home & Garden,ITM-1599,1592,325.22,796
LOC-Alpha,Home & Garden,ITM-5476,304,400.67,216
LOC-Delta,Sports,ITM-7334,744,486.99,591
LOC-Delta,Home & Garden,ITM-9507,596,401.57,666
LOC-Alpha,Sports,ITM-3956,1167,150.41,284
LOC-Gamma,Home & Garden,ITM-6021,963,303.3,670
LOC-Delta,Home & Garden,ITM-8325,136,364.77,187
LOC-Delta,Home & Garden,ITM-1939,203,337.24,135
LOC-Beta,Electronics,ITM-3339,1788,305.75,2134
LOC-Alpha,Apparel,ITM-2101,533,390.37,326
LOC-Delta,Toys,ITM-1530,1289,80.95,940
LOC-Gamma,Home & Garden,ITM-8273,1612,43.06,471
LOC-Gamma,Sports,ITM-6150,1380,142.95,1993
LOC-Alpha,Apparel,ITM-9176,1110,196.56,983
LOC-Gamma,Home & Garden,ITM-8311,489,498.2,244
LOC-Delta,Apparel,ITM-3009,327,427.15,239
LOC-Delta,Electronics,ITM-6236,1417,176.98,270
LOC-Gamma,Home & Garden,ITM-3580,1507,356.23,1628
LOC-Beta,Home & Garden,ITM-9335,509,65.07,194
LOC-Beta,Apparel,ITM-9094,103,183.64,92
LOC-Delta,Toys,ITM-3126,1303,442.7,250
LOC-Delta,Sports,ITM-9612,891,385.74,1116
LOC-Alpha,Apparel,ITM-6194,1365,41.71,1026
LOC-Gamma,Apparel,ITM-3981,1622,483.3,1144
LOC-Alpha,Electronics,ITM-9488,363,155.54,118
LOC-Beta,Home & Garden,ITM-9501,1882,145.6,395
LOC-Beta,Toys,ITM-5496,306,314.39,293
LOC-Alpha,Toys,ITM-3762,1262,471.1,398
LOC-Gamma,Toys,ITM-1674,1740,432.57,371
LOC-Gamma,Apparel,ITM-7825,1315,321.3,1048
LOC-Gamma,Home & Garden,ITM-8912,551,403.32,583
LOC-Gamma,Sports,ITM-2195,1460,34.66,1044
LOC-Delta,Sports,ITM-4342,746,305.3,401
LOC-Gamma,Home & Garden,ITM-7532,317,381.53,260
LOC-Alpha,Home & Garden,ITM-4960,1005,65.65,733
LOC-Beta,Electronics,ITM-1829,644,472.97,843
LOC-Delta,Apparel,ITM-3616,1716,167.08,1559
LOC-Gamma,Apparel,ITM-3610,1070,498.0,806
LOC-Gamma,Sports,ITM-1379,234,472.89,188
LOC-Beta,Apparel,ITM-6781,149,30.02,118
LOC-Delta,Home & Garden,ITM-9793,66,424.35,46
LOC-Gamma,Home & Garden,ITM-7606,799,27.39,137
LOC-Beta,Home & Garden,ITM-5728,200,196.24,146
LOC-Gamma,Toys,ITM-2946,313,487.67,203
LOC-Gamma,Toys,ITM-6990,1596,76.41,1505
LOC-Delta,Toys,ITM-1659,142,24.26,156
LOC-Delta,Toys,ITM-8487,355,305.1,291
LOC-Gamma,Toys,ITM-6218,382,199.51,367
LOC-Gamma,Toys,ITM-6511,1088,415.0,919
LOC-Gamma,Sports,ITM-1272,804,168.96,203
LOC-Delta,Toys,ITM-6040,1681,449.89,2220
LOC-Alpha,Toys,ITM-8775,593,483.7,709
LOC-Beta,Electronics,ITM-8871,399,264.5,442
LOC-Delta,Apparel,ITM-4968,114,288.42,123
LOC-Beta,Electronics,ITM-8225,692,212.3,469
LOC-Beta,Sports,ITM-9221,1637,307.68,1244
LOC-Alpha,Apparel,ITM-9498,474,282.64,709
LOC-Delta,Toys,ITM-7173,692,478.56,514
LOC-Gamma,Toys,ITM-6804,1434,387.13,1590
LOC-Gamma,Toys,ITM-8932,443,478.88,217
LOC-Gamma,Apparel,ITM-5876,1629,148.06,635
LOC-Delta,Home & Garden,ITM-8861,764,282.44,1075
LOC-Gamma,Home & Garden,ITM-2996,1224,339.93,773
LOC-Delta,Home & Garden,ITM-3399,644,25.82,925
LOC-Alpha,Home & Garden,ITM-8247,1393,131.94,1073
LOC-Beta,Toys,ITM-5442,1960,283.2,941
LOC-Alpha,Toys,ITM-4920,546,30.13,746
LOC-Beta,Apparel,ITM-1860,255,209.58,281
LOC-Alpha,Apparel,ITM-1084,1177,489.07,377
LOC-Delta,Sports,ITM-4267,1598,482.14,878
LOC-Alpha,Electronics,ITM-4804,1145,370.65,1477
LOC-Alpha,Apparel,ITM-7846,1856,419.61,2612
LOC-Alpha,Sports,ITM-9116,431,468.62,623
LOC-Gamma,Electronics,ITM-1151,661,286.14,165
LOC-Gamma,Home & Garden,ITM-8444,1363,273.93,1078
LOC-Beta,Toys,ITM-8668,608,100.44,156
LOC-Beta,Sports,ITM-5215,1521,97.17,1720
LOC-Gamma,Toys,ITM-4164,409,307.42,406
LOC-Delta,Sports,ITM-9442,721,47.94,747
LOC-Beta,Apparel,ITM-8822,712,468.23,78
LOC-Delta,Apparel,ITM-8319,1593,137.16,894
LOC-Alpha,Home & Garden,ITM-6890,1468,121.97,1519
LOC-Delta,Home & Garden,ITM-3616,880,344.61,1225
LOC-Gamma,Electronics,ITM-5833,802,309.24,326
LOC-Beta,Sports,ITM-3509,981,375.13,930
LOC-Delta,Toys,ITM-8714,1601,271.07,1648
LOC-Beta,Apparel,ITM-2341,1126,226.14,1222
LOC-Alpha,Toys,ITM-2838,176,415.24,240
LOC-Beta,Toys,ITM-9792,356,86.45,461
LOC-Delta,Electronics,ITM-4365,1518,293.66,345
LOC-Delta,Electronics,ITM-8429,320,259.06,236
LOC-Alpha,Toys,ITM-8575,1427,404.42,1587
LOC-Delta,Home & Garden,ITM-1049,1577,112.86,318
LOC-Delta,Home & Garden,ITM-2044,1158,497.09,1630
LOC-Alpha,Sports,ITM-1519,637,207.39,749
LOC-Delta,Home & Garden,ITM-7266,968,435.46,1325
LOC-Delta,Electronics,ITM-9835,322,328.5,188
LOC-Beta,Toys,ITM-7439,1133,68.04,1665
LOC-Alpha,Electronics,ITM-5888,998,338.38,860
LOC-Delta,Apparel,ITM-5055,993,176.35,482
LOC-Alpha,Electronics,ITM-7868,1309,384.2,1750
LOC-Alpha,Apparel,ITM-4376,187,54.94,27
LOC-Alpha,Apparel,ITM-1724,873,222.29,746
LOC-Alpha,Apparel,ITM-9255,642,120.91,887
LOC-Gamma,Toys,ITM-6253,535,154.37,160
LOC-Beta,Sports,ITM-5923,613,35.17,875
LOC-Beta,Sports,ITM-9120,146,486.28,207
LOC-Delta,Toys,ITM-6222,1476,211.08,455
LOC-Delta,Apparel,ITM-9813,1019,124.28,423
LOC-Beta,Sports,ITM-1944,1201,209.28,820
LOC-Beta,Sports,ITM-4978,572,105.65,575
LOC-Delta,Home & Garden,ITM-2514,1146,363.67,420
LOC-Gamma,Sports,ITM-1647,1839,41.03,2255
LOC-Beta,Sports,ITM-4422,1830,453.98,959
LOC-Alpha,Apparel,ITM-4113,1568,63.07,2351
LOC-Delta,Apparel,ITM-4350,862,457.99,752
LOC-Gamma,Sports,ITM-8639,1142,326.12,607
LOC-Gamma,Toys,ITM-9147,1004,53.81,1479
LOC-Delta,Home & Garden,ITM-4328,809,159.9,132
LOC-Beta,Apparel,ITM-1265,584,278.89,535
LOC-Delta,Home & Garden,ITM-3497,451,168.28,284
LOC-Beta,Sports,ITM-6530,577,382.86,452
LOC-Delta,Sports,ITM-3756,1550,398.51,522
LOC-Delta,Apparel,ITM-9882,1364,478.83,1136
LOC-Alpha,Electronics,ITM-1104,894,73.06,878
LOC-Alpha,Apparel,ITM-1149,497,255.34,309
LOC-Delta,Sports,ITM-1257,63,268.45,42
LOC-Alpha,Toys,ITM-5501,1147,488.85,142
LOC-Delta,Apparel,ITM-2753,1930,52.68,595
LOC-Beta,Toys,ITM-9625,566,408.53,268
LOC-Delta,Electronics,ITM-7112,881,232.2,388
LOC-Beta,Home & Garden,ITM-2320,1388,495.88,1401
LOC-Alpha,Electronics,ITM-7640,826,191.7,633
LOC-Alpha,Apparel,ITM-2354,1073,423.44,1076
LOC-Gamma,Toys,ITM-2562,1882,266.44,300
LOC-Beta,Toys,ITM-8790,605,28.05,123
LOC-Gamma,Toys,ITM-1539,417,464.74,225
LOC-Beta,Toys,ITM-3362,1590,411.24,1986
LOC-Alpha,Home & Garden,ITM-3661,1204,124.03,1527
LOC-Delta,Toys,ITM-6435,836,379.03,247
LOC-Alpha,Toys,ITM-6666,159,53.35,67
LOC-Alpha,Home & Garden,ITM-7499,1634,166.56,1614
LOC-Delta,Sports,ITM-4737,778,278.75,486
LOC-Beta,Toys,ITM-7227,225,387.22,115
LOC-Beta,Electronics,ITM-2344,598,81.34,655
LOC-Beta,Sports,ITM-6188,788,57.74,84
LOC-Gamma,Sports,ITM-6896,1609,138.53,459
LOC-Beta,Sports,ITM-8353,1190,279.6,798
LOC-Alpha,Electronics,ITM-6798,1185,51.07,1110
LOC-Gamma,Sports,ITM-1202,647,209.84,770
LOC-Beta,Toys,ITM-9537,397,344.23,133
LOC-Gamma,Home & Garden,ITM-5397,1059,77.24,353
LOC-Gamma,Sports,ITM-5911,1041,392.42,630
LOC-Beta,Sports,ITM-4203,987,57.95,519
LOC-Delta,Home & Garden,ITM-7224,1696,431.79,1214
LOC-Delta,Toys,ITM-3230,665,163.73,948
LOC-Beta,Sports,ITM-6147,413,482.46,601
LOC-Gamma,Sports,ITM-4971,717,191.15,891
LOC-Delta,Home & Garden,ITM-2865,1958,284.11,1819
LOC-Beta,Toys,ITM-1440,1539,233.5,1680
LOC-Delta,Home & Garden,ITM-2133,1727,424.66,2094
LOC-Delta,Apparel,ITM-5961,545,130.08,172
LOC-Delta,Sports,ITM-2211,969,495.4,747
LOC-Delta,Toys,ITM-9300,1941,460.59,2073
LOC-Alpha,Home & Garden,ITM-9796,1266,320.9,277
LOC-Beta,Home & Garden,ITM-3725,1375,308.28,1221
LOC-Delta,Home & Garden,ITM-8052,266,10.22,122
LOC-Beta,Sports,ITM-7129,851,234.22,894
LOC-Beta,Home & Garden,ITM-1402,1038,56.75,708
LOC-Alpha,Electronics,ITM-3321,763,159.39,562
LOC-Beta,Toys,ITM-8912,763,240.7,544
LOC-Delta,Home & Garden,ITM-2100,664,27.12,727
LOC-Alpha,Home & Garden,ITM-2791,1436,401.02,2013
LOC-Beta,Toys,ITM-3858,1180,84.27,1042
LOC-Delta,Apparel,ITM-7636,1339,96.3,1334
LOC-Delta,Sports,ITM-1478,1560,308.98,586
LOC-Delta,Sports,ITM-1072,1493,111.32,731
LOC-Alpha,Toys,ITM-2667,1687,436.63,610
LOC-Gamma,Apparel,ITM-8496,283,134.86,370
LOC-Gamma,Toys,ITM-7367,1301,199.31,338
LOC-Gamma,Sports,ITM-3826,1716,338.43,2094
LOC-Alpha,Apparel,ITM-6131,291,123.09,76
LOC-Gamma,Apparel,ITM-9369,845,212.03,247
LOC-Delta,Sports,ITM-4043,1046,319.57,1120
LOC-Beta,Toys,ITM-3733,1052,147.97,380
LOC-Delta,Toys,ITM-1878,1822,182.72,206
LOC-Beta,Apparel,ITM-7290,1200,255.19,951
LOC-Delta,Sports,ITM-8272,1050,87.79,936
LOC-Beta,Home & Garden,ITM-1535,612,116.3,308
LOC-Delta,Toys,ITM-9115,1175,257.85,1059
LOC-Gamma,Toys,ITM-7010,1160,412.19,183
LOC-Delta,Toys,ITM-4580,920,55.7,1161
LOC-Beta,Home & Garden,ITM-1528,971,135.09,1269
LOC-Alpha,Sports,ITM-2923,1638,406.89,645
LOC-Gamma,Toys,ITM-8015,389,309.99,466
LOC-Beta,Electronics,ITM-6747,1140,144.14,973
LOC-Gamma,Home & Garden,ITM-5740,1222,137.33,1590
LOC-Alpha,Apparel,ITM-7743,1931,34.35,942
LOC-Beta,Apparel,ITM-5090,349,357.14,439
LOC-Delta,Sports,ITM-3329,1232,318.04,1206
